id,name,type,InkCost,maxCopies,aspect,roles
T_Veto,Veto,Light,4,1,Aspect of The Throne,
B_INFO,Bloom Info,Info,0,1,Aspect of Bloom,
B_TRAVEL_Glimmer,Glimmer,Travel,1,1,Aspect of Bloom,
B_Petal_Ward,Petal Ward,Light,2,2,Aspect of Bloom,
B_Garden_of_Light,Garden of Light,Holy,4,1,Aspect of Bloom,
B_Fairy_Intercession,Fairy Intercession,Light,2,2,Aspect of Bloom,
B_Sunlight,Sunlight,Light,2,2,Aspect of Bloom,
B_Pixie-s_Insight,Pixie's Insight,Light,3,2,Aspect of Bloom,
B_Fairy_Flight,Fairy Flight,Light,4,1,Aspect of Bloom,
B_Pollen_Rush,Pollen Rush,Light,3,2,Aspect of Bloom,
B_Meadow_Aegis,Meadow Aegis,Light,2,2,Aspect of Bloom,
B_Garden_of_Rejuvenation,Garden of Rejuvenation,Light,6,2,Aspect of Bloom,
B_Dissolve,Dissolve,Light,2,3,Aspect of Bloom,
BT_INFO,Blight Info,Info,0,1,Aspect of Blight,
BT_TRAVEL_Fade,Fade,Travel,2,1,Aspect of Blight,
BT_Rot,Rot,Light,2,3,Aspect of Blight,
BT_Infection,Infection,Light,3,2,Aspect of Blight,
BT_Dark_Omen,Dark Omen,Light,2,2,Aspect of Blight,
BT_Ruin,Ruin,Light,4,2,Aspect of Blight,
BT_Wither,Wither,Light,3,2,Aspect of Blight,
BT_Blind,Blind,Light,4,2,Aspect of Blight,
BT_Wraith-s_Doom_Howl,Wraith's Doom Howl,Dark,5,1,Aspect of Blight,
CURSE_INFO,Cursed Pages Info,Info,0,1,Cursed Pages,
CURSE_Torn_Page,Torn Page,Curse,0,5,Cursed Pages,
CURSE_Ashen_Page,Ashen Page,Curse,0,4,Cursed Pages,
CURSE_Poisoned_Leaf,Poisoned Leaf,Curse,0,3,Cursed Pages,
CURSE_Bloody_Ink,Bloody Ink,Curse,0,2,Cursed Pages,
CURSE_Slowness,Slowness,Curse,0,4,Cursed Pages,
CURSE_Weakness,Weakness,Curse,0,4,Cursed Pages,
CURSE_Drain,Drain,Curse,0,3,Cursed Pages,
DA_Pain_TRAVEL_Wounded_Retreat,Wounded Retreat,Travel,4,1,Aspect of Dark Art of Pain,
DA_Pain_Bloodletting,Bloodletting,Light,2,3,Aspect of Dark Art of Pain,
DA_Pain_Strain,Strain,Light,2,3,Aspect of Dark Art of Pain,
DA_Pain_Bloody_Future,Bloody Future,Light,4,2,Aspect of Dark Art of Pain,
DA_Pain_Gaze_into_Darkness,Gaze into Darkness,Light,3,2,Aspect of Dark Art of Pain,
DA_Pain_Rupture,Rupture,Light,3,2,Aspect of Dark Art of Pain,
DA_Panic_TRAVEL_Frantic_Flight,Frantic Flight,Travel,4,1,Aspect of Dark Art of Panic,
DA_Panic_Rush,Rush,Light,4,3,Aspect of Dark Art of Panic,
DA_Panic_Aftershock,Aftershock,Light,3,1,Aspect of Dark Art of Panic,
DA_Panic_Distortion,Distortion,Light,2,2,Aspect of Dark Art of Panic,
DA_Panic_Flicker,Flicker,Light,2,2,Aspect of Dark Art of Panic,
DA_Panic_Overreach,Overreach,Light,3,2,Aspect of Dark Art of Panic,
DA_Panic_Fear,Fear,Light,3,2,Aspect of Dark Art of Panic,
DA_Terror_TRAVEL_Last_Resort,Last Resort,Travel,5,1,Aspect of Dark Art of Terror,
DA_Terror_Doom_Harvest,Doom Harvest,Light,6,2,Aspect of Dark Art of Terror,
DA_Terror_Execution,Execution,Light,3,2,Aspect of Dark Art of Terror,
DA_Terror_Grave_Exchange,Grave Exchange,Light,3,2,Aspect of Dark Art of Terror,
DA_Terror_Burden,Burden,Light,4,4,Aspect of Dark Art of Terror,
DA_Terror_Infernal_Seal,Infernal Seal,Dark,6,1,Aspect of Dark Art of Terror,
