id,name,type,rank,maxCopies,aspect,roles
chaos_break_reality,Break Reality,Light,4,1,Chaos,disrupt
chaos_chaotic_surge,Chaotic Surge,Light,3,2,Chaos,Power Increase;disrupt
chaos_confusion,Confusion,Light,3,2,Chaos,disrupt;draw
chaos_unpredictable_boon,Unpredictable Boon,Light,3,2,Chaos,draw;disrupt
chaos_cascading_instability,Cascading Instability,Light,3,2,Chaos,Movement Increase;disrupt
chaos_collapsing_space,Collapsing Space,Light,3,1,Chaos,Movement Increase;disrupt
chaos_schrodingers_grimoire,Schrödinger’s Grimoire,Dark,5,1,Chaos,disrupt
energy_supernova_energy_converter,Supernova Energy Converter,Light,4,2,Energy,Power Increase;draw
energy_energy_burst,Energy Burst,Light,3,1,Energy,Power Increase;special
energy_energy_flux,Energy Flux,Light,2,1,Energy,draw;disrupt
energy_will_power,Will Power,Light,4,1,Energy,Power Increase;disrupt
energy_fears_grasp,Fear's Grasp,Light,4,1,Energy,Power Increase;disrupt
energy_rage_unleashed,Rage Unleashed,Light,4,1,Energy,Power Increase;Movement Increase;disrupt
energy_greeds_influence,Greed's Influence,Dark,5,1,Energy,draw;disrupt
order_martial_command,Martial Command,Light,3,1,Order,Movement Increase;Power Increase;disrupt
order_absolute_authority,Absolute Authority,Light,3,3,Order,disrupt;inflict_status;Movement Decrease
order_chain_of_command,Chain of Command,Light,3,1,Order,Movement Increase;disrupt;Movement Decrease
order_silence_rebellion,Silence Rebellion,Dark,4,1,Order,disrupt;Movement Decrease
order_blockade,Blockade,Light,3,3,Order,disrupt;Movement Decrease
madness_twisted_space,Twisted Space,Light,4,1,Madness,Movement Increase
madness_shattered_time,Shattered Time,Light,5,1,Madness,disrupt;Movement Increase;draw
madness_splintered_mind,Splintered Mind,Light,3,1,Madness,Power Increase;disrupt
madness_unhinged_reality,Unhinged Reality,Light,3,1,Madness,disrupt;Movement Increase
madness_chaotic_power,Chaotic Power,Light,4,1,Madness,Power Increase;disrupt
madness_eclipsed_soul,Eclipsed Soul,Light,5,1,Madness,disrupt
madness_balance,Balance,Dark,5,1,Madness,disrupt;special
freedom_unyielding_will,Unyielding Will,Holy,3,2,Freedom,Power Increase
freedom_rallying_cry,Rallying Cry,Light,2,2,Freedom,Power Increase
freedom_chain_break,Chain Break,Light,4,2,Freedom,Movement Increase;disrupt
freedom_liberators_path,Liberator's Path,Light,3,1,Freedom,disrupt;Movement Increase
freedom_limit_breaker,Limit Breaker,Light,4,2,Freedom,disrupt
resistance_twilight_strategy,Twilight Strategy,Light,4,2,Resistance,Movement Increase;disrupt
resistance_illusory_ambush,Illusory Ambush,Light,4,2,Resistance,Power Increase;disrupt
resistance_magic_bound,Magic Bound,Light,3,2,Resistance,disrupt
resistance_counterstrike,Counterstrike,Light,3,2,Resistance,Power Increase;inflict_status
resistance_force_field,Force Field,Light,3,2,Resistance,Power Increase
resistance_last_stand,Last Stand,Dark,2,1,Resistance,Power Increase;disrupt
silence_sacred_restraint,Sacred Restraint,Holy,3,1,Silence,disrupt;draw
silence_hush,Hush,Light,3,3,Silence,disrupt
silence_unspoken_oath,Unspoken Oath,Holy,3,1,Silence,draw;disrupt
silence_oathbound,Oathbound,Light,3,2,Silence,disrupt
silence_seal_of_whispers,Seal of Whispers,Dark,4,1,Silence,disrupt;inflict_status
silence_mute,Mute,Light,3,1,Silence,disrupt
echoes_repeat,Repeat,Light,3,2,Echoes,special
echoes_recall,Recall,Light,3,2,Echoes,special
echoes_inversion,Inversion,Light,3,2,Echoes,disrupt;draw
echoes_echo_sanctuary,Echo Sanctuary,Holy,3,2,Echoes,disrupt
echoes_resonance_shift,Resonance Shift,Light,3,2,Echoes,Movement Increase
echoes_disturbance,Disturbance,Light,3,2,Echoes,disrupt
shadows_retribution,Retribution,Shadow,4,1,Shadows,disrupt
shadows_echo,Echo,Shadow,3,1,Shadows,disrupt
shadows_desecration,Desecration,Shadow,4,1,Shadows,disrupt
shadows_silence,Silence,Shadow,4,1,Shadows,disrupt
shadows_nightmare,Nightmare,Shadow,5,1,Shadows,disrupt;draw
shadows_null,Null,Shadow,3,1,Shadows,disrupt
shadows_twilight_seal,Twilight Seal,Shadow,4,1,Shadows,disrupt
starlight_starlight_echo,Starlight Echo,Astral,3,2,Starlight,Power Increase;disrupt;Movement Increase
starlight_guiding_star,Guiding Star,Astral,4,2,Starlight,draw;disrupt
starlight_phase_shift,Phase Shift,Astral,4,2,Starlight,disrupt
starlight_celestial_fortification,Celestial Fortification,Astral,4,2,Starlight,Power Increase
starlight_stargaze,Stargaze,Astral,4,2,Starlight,draw
starlight_eclipse,Eclipse,Astral,4,2,Starlight,draw;special
starlight_sirisum,Sirisum,Astral,5,1,Starlight,special
